,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Orang yang dites,Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis pertama (harian),Dosis kedua (harian),Dosis pertama (mingguan),Dosis kedua (mingguan),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
16-Mar,17,,,134,121,90.30%,0,8,5.97%,61.54%,0,5,3.73%,38.46%,,,,"1,230",1230,"1,083",134,13,,,,5,9.18,9.18,0.00,10.89%,,14.53%,14.94%,,,,,,,,,,,,,,,,,,,,,,
17-Mar,38,,,172,156,90.70%,1,9,5.23%,56.25%,2,7,4.07%,43.75%,,,,"1,372",1372,"1,178",172,22,,120,,5,7.98,7.98,3.16,12.54%,28.57%,28.36%,16.78%,,,,,,,,,,,,,,,,,,,,,,
18-Mar,55,,,227,197,86.78%,2,11,4.85%,36.67%,12,19,8.37%,63.33%,,,,"1,592",1592,"1,342",227,23,,197,,6,7.01,7.01,3.58,14.26%,25.11%,31.98%,21.07%,,,,,,,,,,,,,,,,,,,,,,
19-Mar,82,,,309,269,87.06%,4,15,4.85%,37.50%,6,25,8.09%,62.50%,,,,"1,898",1898,"1,570",309,19,,287,,7,6.14,6.14,3.50,16.28%,26.45%,36.12%,26.57%,,,,,,,,,,,,,,,,,,,,,,
20-Mar,60,,,369,321,86.99%,1,16,4.34%,33.33%,7,32,8.67%,66.67%,,,,"2,028",2028,"1,643",369,18,,112,,8,5.50,5.50,1.87,18.20%,45.80%,19.42%,29.88%,,,,,,,,,,,,,,,,,,,,,,
21-Mar,81,,,450,392,87.11%,4,20,4.44%,34.48%,6,38,8.44%,65.52%,,,,"2,365",2365,"1,895",450,20,,317,,9,5.26,5.26,3.91,19.03%,24.18%,21.95%,31.58%,,,,,,,,,,,,,,,,,,,,,,
22-Mar,64,,,514,437,85.02%,9,29,5.64%,37.66%,10,48,9.34%,62.34%,,,,"2,438",2438,"1,904",514,20,,53,,9,4.74,4.74,0.83,21.08%,87.67%,14.22%,36.56%,,,,,,,,,,,,,,,,,,,,,,
23-Mar,65,,,579,500,86.36%,1,30,5.18%,37.97%,1,49,8.46%,62.03%,,,,"2,756",2756,"2,177",579,0,,318,,10,4.76,4.76,4.89,21.01%,19.23%,12.65%,31.70%,,,,,,,,,,,,,,,,,,,,,,
24-Mar,106,,,685,600,87.59%,0,30,4.38%,35.29%,6,55,8.03%,64.71%,,,,"3,332",3332,"2,625",685,22,,554,,12,4.86,4.86,5.23,20.56%,19.13%,18.31%,27.91%,,,,,,,,,,,,,,,,,,,,,,
25-Mar,105,,,790,701,88.73%,1,31,3.92%,34.83%,3,58,7.34%,65.17%,,,,"3,822",3822,"3,032",790,0,,490,,14,4.84,4.84,4.67,20.67%,20.51%,15.33%,26.42%,,,,,,,,,,,,,,,,,,,,,,
