,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Orang yang dites,Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis pertama (harian),Dosis kedua (harian),Dosis pertama (mingguan),Dosis kedua (mingguan),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
15-Aug,"2,345",,,"137,468","40,076",29.15%,"1,703","91,321",66.43%,93.77%,50,"6,071",4.42%,6.23%,,,"76,327","1,862,801","1,052,503","915,035","137,468",0,"27,296","12,821",,"3,898",13.55,7.66,5.47,13.06%,18.29%,1.74%,15.71%,"24,132","12,700",1.90,11990,,,,,,,12700,15.71%,6173,598,"4,514",9.69%,12.01%,"6,648","1,747","8,186",26.28%,17.75%
16-Aug,"2,081",,,"139,549","40,296",28.88%,"1,782","93,103",66.72%,93.80%,79,"6,150",4.41%,6.20%,,,"77,090","1,888,215","1,061,721","922,172","139,549",0,"25,414","9,218",,"3,932",13.53,7.61,4.43,13.14%,22.58%,1.51%,15.88%,"24,631","12,732",1.93,12242,,,,,,,12732,15.88%,4992,519,"4,641",10.40%,11.82%,"4,226","1,562","8,091",36.96%,18.21%
17-Aug,"1,821",,,"141,370","40,705",28.79%,"1,355","94,458",66.82%,93.83%,57,"6,207",4.39%,6.17%,,,"78,659","1,900,668","1,068,945","927,575","141,370",0,"12,453","7,224",,"3,959",13.44,7.56,3.97,13.23%,25.21%,1.30%,17.00%,"24,148","12,007",2.01,13370,,,,,,,12007,17.00%,3766,539,"4,806",14.31%,11.59%,"3,458","1,282","7,201",37.07%,20.60%
18-Aug,"1,673",,,"143,043","40,460",28.29%,"1,848","96,306",67.33%,93.88%,70,"6,277",4.39%,6.12%,,,"78,394","1,915,039","1,081,354","938,311","143,043",0,"14,371","12,409",,"4,005",13.39,7.56,7.42,13.23%,13.48%,1.18%,17.20%,"22,516","11,850",1.90,13484,,,,,,,11850,17.20%,4901,504,"4,860",10.28%,11.56%,"7,508","1,169","6,989",15.57%,21.12%
19-Aug,"1,902",,,"144,945","39,942",27.56%,"2,351","98,657",68.07%,93.96%,69,"6,346",4.38%,6.04%,,,"79,174","1,941,117","1,096,294","951,349","144,945",0,"26,078","14,940",,"4,060",13.39,7.56,7.85,13.22%,12.73%,1.33%,16.90%,"22,492","12,027",1.87,13379,,,,,,,12027,16.90%,3851,564,"4,822",14.65%,11.61%,"11,089","1,338","7,205",12.07%,20.44%
20-Aug,"2,266",,,"147,211","40,119",27.25%,"2,017","100,674",68.39%,94.01%,72,"6,418",4.36%,5.99%,,,"79,484","1,969,941","1,108,068","960,857","147,211",0,"28,824","11,774",,"4,104",13.38,7.53,5.20,13.29%,19.25%,1.56%,17.75%,"22,922","11,588",1.98,14106,,,,,,,11588,17.75%,6391,595,"5,014",9.31%,11.09%,"5,383","1,671","6,574",31.04%,22.82%
21-Aug,"2,197",,,"149,408","39,917",26.72%,"2,317","102,991",68.93%,94.06%,82,"6,500",4.35%,5.94%,,,"78,877","1,989,870","1,121,602","972,194","149,408",,"19,929","13,534",,"4,154",13.32,7.51,6.16,13.32%,16.23%,1.49%,17.44%,"22,052","11,703",1.88,13754,,,,,,,11703,17.44%,3728,641,"4,829",17.19%,11.72%,"9,806","1,556","6,874",15.87%,21.46%
22-Aug,"2,090",,,"151,498","39,706",26.21%,"2,207","105,198",69.44%,94.10%,94,"6,594",4.35%,5.90%,,,"75,457","2,014,619","1,139,768","988,270","151,498",,"24,749","18,166",,"4,221",13.30,7.52,8.69,13.29%,11.51%,1.40%,16.08%,"21,688","12,466",1.74,12132,,,,,,,12466,16.08%,4418,601,"4,578",13.60%,12.37%,"13,748","1,489","7,888",10.83%,18.23%
23-Aug,"2,037",,,"153,535","39,355",25.63%,"2,302","107,500",70.02%,94.15%,86,"6,680",4.35%,5.85%,,,"75,522","2,036,771","1,157,184","1,003,649","153,535",,"22,152","17,416",,"4,286",13.27,7.54,8.55,13.27%,11.70%,1.34%,14.65%,"21,222","13,638",1.56,11065,,,,,,,13638,14.65%,5122,637,"4,597",12.44%,12.68%,"12,294","1,400","9,041",11.39%,15.65%
24-Aug,"1,877",,,"155,412","37,593",24.19%,"3,560","111,060",71.46%,94.26%,79,"6,759",4.35%,5.74%,,,"76,745","2,056,166","1,173,369","1,017,957","155,412",,"19,395","16,185",,"4,346",13.23,7.55,8.62,13.24%,11.60%,1.22%,13.45%,"22,214","14,918",1.49,10320,,,,,,,14918,13.45%,3691,659,"4,586",17.85%,13.09%,"12,494","1,218","10,332",9.75%,13.61%
25-Aug,"2,447",,,"157,859","38,134",24.16%,"1,807","112,867",71.50%,94.27%,99,"6,858",4.34%,5.73%,,,"76,667","2,077,441","1,191,948","1,034,089","157,859",,"21,275","18,579",,"4,415",13.16,7.55,7.59,13.24%,13.17%,1.57%,13.40%,"23,200","15,799",1.47,10271,,,,,,,15799,13.40%,4511,639,"4,530",14.17%,13.67%,"14,068","1,808","11,269",12.85%,13.29%
26-Aug,"2,306",,,"160,165","37,812",23.61%,"2,542","115,409",72.06%,94.32%,86,"6,944",4.34%,5.68%,,,"77,056","2,106,753","1,212,468","1,052,303","160,165",,"29,312","20,520",,"4,491",13.15,7.57,8.90,13.21%,11.24%,1.46%,13.10%,"23,662","16,596",1.43,10095,,,,,,,16596,13.10%,4454,708,"4,616",15.90%,13.86%,"16,066","1,598","11,980",9.95%,12.81%
27-Aug,"2,719",,,"162,884","37,245",22.87%,"3,166","118,575",72.80%,94.38%,120,"7,064",4.34%,5.62%,,,"76,201","2,136,416","1,233,486","1,070,602","162,884",,"29,663","21,018",,"4,568",13.12,7.57,7.73,13.21%,12.94%,1.70%,12.50%,"23,782","17,917",1.33,9523,,,,,,,17917,12.50%,7127,820,"4,722",11.51%,14.24%,"13,891","1,899","13,195",13.67%,11.87%
28-Aug,"3,003",,,"165,887","37,818",22.80%,"2,325","120,900",72.88%,94.40%,105,"7,169",4.32%,5.60%,,,"77,857","2,169,498","1,250,135","1,084,248","165,887",,"33,082","16,649",,"4,630",13.08,7.54,5.54,13.27%,18.04%,1.84%,12.82%,"25,661","18,362",1.40,9982,,,,,,,18362,12.82%,5709,847,"5,005",14.84%,14.02%,"10,940","2,156","13,357",19.71%,12.37%
29-Aug,"3,308",,,"169,195","39,132",23.13%,"1,902","122,802",72.58%,94.42%,92,"7,261",4.29%,5.58%,,,"76,252","2,198,403","1,271,301","1,102,106","169,195",,"28,905","21,166",,"4,709",12.99,7.51,6.40,13.31%,15.63%,1.99%,13.45%,"26,255","18,790",1.40,10259,,,,,,,18790,13.45%,6705,857,"5,331",12.78%,13.85%,"14,461","2,451","13,459",16.95%,13.30%
30-Aug,"2,858",,,"172,053","40,525",23.55%,"1,383","124,185",72.18%,94.42%,82,"7,343",4.27%,5.58%,,,"77,951","2,224,337","1,282,618","1,110,565","172,053",,"25,934","11,317",,"4,750",12.93,7.45,3.96,13.41%,25.25%,1.69%,14.76%,"26,795","17,919",1.50,11508,,,,,,,17919,14.76%,4872,1114,"5,296",22.87%,15.23%,"6,445","1,744","12,624",27.06%,14.57%
31-Aug,"2,743",,,"174,796","41,420",23.70%,"1,774","125,959",72.06%,94.44%,74,"7,417",4.24%,5.56%,,,"79,320","2,239,642","1,297,184","1,122,388","174,796",,"15,305","14,566",,"4,804",12.81,7.42,5.31,13.48%,18.83%,1.59%,15.66%,"26,211","17,688",1.48,12418,,,,,,,17688,15.66%,4315,1029,"5,385",23.85%,15.96%,"10,251","1,714","12,303",16.72%,15.52%
1-Sep,"2,775",,,"177,571","42,009",23.66%,"2,098","128,057",72.12%,94.46%,88,"7,505",4.23%,5.54%,,,"80,675","2,270,267","1,312,477","1,134,906","177,571",,"30,625","15,293",,"4,861",12.79,7.39,5.51,13.53%,18.15%,1.59%,16.35%,"27,547","17,218",1.60,13194,,,,,,,17218,16.35%,6144,941,"5,618",15.32%,16.06%,"9,149","1,834","11,600",20.05%,16.50%
2-Sep,"3,075",,,"180,646","43,059",23.84%,"1,914","129,971",71.95%,94.46%,111,"7,616",4.22%,5.54%,,,"81,757","2,301,268","1,333,985","1,153,339","180,646",,"31,001","21,508",,"4,941",12.74,7.38,6.99,13.54%,14.30%,1.73%,16.85%,"27,788","17,360",1.60,13780,,,,,,,17360,16.85%,5672,1053,"5,792",18.56%,16.43%,"15,836","2,022","11,568",12.77%,17.07%
3-Sep,"3,622",,,"184,268","44,463",24.13%,"2,084","132,055",71.66%,94.46%,134,"7,750",4.21%,5.54%,,,"84,701","2,338,865","1,353,291","1,169,023","184,268",,"37,597","19,306",,"5,012",12.69,7.34,5.33,13.62%,18.76%,2.01%,17.85%,"28,921","17,115",1.69,15118,,,,,,,17115,17.85%,7270,1405,"5,812",19.33%,17.81%,"12,036","2,217","11,303",18.42%,17.87%
4-Sep,"3,269",,,"187,537","45,524",24.27%,"2,126","134,181",71.55%,94.49%,82,"7,832",4.18%,5.51%,,,"85,178","2,375,133","1,371,391","1,183,854","187,537",,"36,268","18,100",,"5,079",12.66,7.31,5.54,13.67%,18.06%,1.77%,17.85%,"29,376","17,322",1.70,15208,,,,,,,17322,17.85%,7491,896,"6,067",11.96%,17.18%,"10,609","2,373","11,255",22.37%,18.22%
5-Sep,"3,128",,,"190,665","46,324",24.30%,"2,220","136,401",71.54%,94.50%,108,"7,940",4.16%,5.50%,,,"86,778","2,405,773","1,388,288","1,197,623",,,"30,640","16,897",,"5,142",12.62,7.28,5.40,13.73%,18.51%,1.67%,18.35%,"29,624","16,712",1.77,15926,,,,,,,16712,18.35%,7248,842,"6,145",11.62%,16.93%,"9,649","2,286","10,568",23.69%,19.18%
6-Sep,"3,444",,,"194,109","47,509",24.48%,"2,174","138,575",71.39%,94.53%,85,"8,025",4.13%,5.47%,,,"89,701","2,433,752","1,401,513","1,207,404",,,"27,979","13,225",,"5,191",12.54,7.22,3.84,13.85%,26.04%,1.81%,18.55%,"29,916","16,985",1.76,16640,,,,,,,16985,18.55%,6362,1245,"6,357",19.57%,16.65%,"6,863","2,199","10,628",32.04%,19.69%
7-Sep,"2,880",,,"196,989","48,207",24.47%,"2,077","140,652",71.40%,94.54%,105,"8,130",4.13%,5.46%,,,"89,992","2,452,164","1,417,694","1,220,705",,,"18,412","16,181",,"5,251",12.45,7.20,5.62,13.90%,17.80%,1.48%,18.42%,"30,360","17,216",1.76,16573,,,,,,,17216,18.42%,4871,1105,"6,437",22.69%,16.62%,"11,310","1,775","10,779",15.69%,19.49%
8-Sep,"3,046",,,"200,035","48,847",24.42%,"2,306","142,958",71.47%,94.56%,100,"8,230",4.11%,5.44%,,,"90,952","2,484,807","1,434,294","1,234,259",,,"32,643","16,600",,"5,312",12.42,7.17,5.45,13.95%,18.35%,1.55%,18.44%,"30,649","17,402",1.76,16772,,,,,,,17402,18.44%,6856,948,"6,539",13.83%,16.37%,"9,744","2,098","10,864",21.53%,19.69%
9-Sep,"3,307",,,"203,342","49,806",24.49%,"2,242","145,200",71.41%,94.57%,106,"8,336",4.10%,5.43%,,,"92,330","2,514,670","1,449,629","1,246,287",,,"29,863","15,335",,"5,369",12.37,7.13,4.64,14.03%,21.57%,1.65%,19.63%,"30,486","16,521",1.85,18120,,,,,,,16521,19.63%,7923,1024,"6,860",12.92%,15.55%,"7,412","2,283","9,660",30.80%,22.52%
10-Sep,"3,861",,,"207,203","51,237",24.73%,"2,310","147,510",71.19%,94.58%,120,"8,456",4.08%,5.42%,,,"95,501","2,549,579","1,469,943","1,262,740",,,"34,909","20,314",,"5,444",12.30,7.09,5.26,14.10%,19.01%,1.90%,19.66%,"30,102","16,665",1.81,18776,,,,,,,16665,19.66%,6383,1450,"6,733",22.72%,15.93%,"13,931","2,411","9,931",17.31%,22.19%
11-Sep,"3,737",,,"210,940","52,179",24.74%,"2,707","150,217",71.21%,94.62%,88,"8,544",4.05%,5.38%,,,"94,886","2,581,433","1,498,292","1,287,352",,,"31,854","28,349",,"5,549",12.24,7.10,7.59,14.08%,13.18%,1.80%,18.44%,"29,471","18,129",1.63,17499,,,,,,,18129,18.44%,6982,1103,"6,661",15.80%,16.55%,"21,367","2,634","11,468",12.33%,19.54%
12-Sep,"3,806",,,"214,746","53,638",24.98%,"2,241","152,458",70.99%,94.63%,106,"8,650",4.03%,5.37%,,,"95,539","2,620,004","1,523,214","1,308,468",,,"38,571","24,922",,"5,642",12.20,7.09,6.55,14.10%,15.27%,1.80%,17.85%,"30,604","19,275",1.59,17051,,,,,,,19275,17.85%,7644,1051,"6,717",13.75%,16.86%,"17,278","2,755","12,558",15.95%,18.38%
13-Sep,"3,636",,,"218,382","54,649",25.02%,"2,552","155,010",70.98%,94.67%,73,"8,723",3.99%,5.33%,,,"97,227","2,650,104","1,549,352","1,330,970",,,"30,100","26,138",,"5,738",12.14,7.09,7.19,14.10%,13.91%,1.69%,16.42%,"30,907","21,120",1.46,15963,,,,,,,21120,16.42%,6547,1492,"6,744",22.79%,17.31%,"19,591","2,144","14,376",10.94%,16.00%
14-Sep,"3,141",,,"221,523","54,277",24.50%,"3,395","158,405",71.51%,94.71%,118,"8,841",3.99%,5.29%,,,"98,842","2,672,710","1,569,545","1,348,022",,,"22,606","20,193",,"5,813",12.07,7.09,6.43,14.11%,15.55%,1.44%,16.16%,"31,507","21,693",1.45,15970,,,,,,,21693,16.16%,3834,1062,"6,596",27.70%,17.61%,"16,359","2,079","15,097",12.71%,15.52%
15-Sep,"3,507",,,"225,030","55,000",24.44%,"2,660","161,065",71.57%,94.73%,124,"8,965",3.98%,5.27%,,,"99,634","2,715,346","1,592,056","1,367,026",,,"42,636","22,511",,"5,897",12.07,7.07,6.42,14.13%,15.58%,1.58%,15.84%,"32,934","22,537",1.46,15785,,,,,,,22537,15.84%,7141,1027,"6,636",14.38%,17.67%,"15,370","2,480","15,901",16.14%,15.08%
16-Sep,"3,963",,,"228,993","55,792",24.36%,"3,036","164,101",71.66%,94.75%,135,"9,100",3.97%,5.25%,,,"100,236","2,755,120","1,622,769","1,393,776",,,"39,774","30,713",,"6,010",12.03,7.09,7.75,14.11%,12.90%,1.76%,14.82%,"34,350","24,734",1.39,14850,,,,,,,24734,14.82%,5561,1505,"6,299",27.06%,19.71%,"25,152","2,458","18,435",9.77%,13.14%
17-Sep,"3,635",,,"232,628","56,720",24.38%,"2,585","166,686",71.65%,94.76%,122,"9,222",3.96%,5.24%,,,"103,209","2,796,924","1,652,324","1,419,696",,,"41,804","29,555",,"6,120",12.02,7.10,8.13,14.08%,12.30%,1.59%,13.94%,"35,335","26,054",1.36,14388,,,,,,,26054,13.94%,7615,1014,"6,475",13.32%,18.21%,"21,940","2,621","19,580",11.95%,12.53%
18-Sep,"3,891",,,"236,519","56,409",23.85%,"4,088","170,774",72.20%,94.82%,114,"9,336",3.95%,5.18%,,,"104,866","2,841,352","1,676,648","1,440,129",,,"44,428","24,324",,"6,210",12.01,7.09,6.25,14.11%,16.00%,1.67%,14.34%,"37,131","25,479",1.46,15039,,,,,,,25479,14.34%,8192,1403,"6,648",17.13%,18.38%,"16,132","2,488","18,832",15.42%,12.92%
19-Sep,"4,168",,,"240,687","56,889",23.64%,"3,576","174,350",72.44%,94.86%,112,"9,448",3.93%,5.14%,,,"107,863","2,885,895","1,698,202","1,457,515",,,"44,543","21,554",,"6,290",11.99,7.06,5.17,14.17%,19.34%,1.76%,14.82%,"37,984","24,998",1.52,15990,,,,,,,24998,14.82%,7182,932,"6,582",12.98%,18.31%,"14,372","3,236","18,417",22.52%,13.58%
20-Sep,"3,989",,,"244,676","57,796",23.62%,"2,977","177,327",72.47%,94.89%,105,"9,553",3.90%,5.11%,,,"107,370","2,922,648","1,718,175","1,473,499",,,"36,753","19,973",,"6,364",11.94,7.02,5.01,14.24%,19.97%,1.66%,15.57%,"38,935","24,118",1.61,16723,,,,,,,24118,15.57%,8010,1079,"6,791",13.47%,16.88%,"11,963","2,910","17,327",24.33%,15.06%
21-Sep,"4,176",,,"248,852","58,378",23.46%,"3,470","180,797",72.65%,94.92%,124,"9,677",3.89%,5.08%,,,"108,880","2,950,173","1,743,000","1,494,148",,,"27,525","24,825",,"6,456",11.86,7.00,5.94,14.28%,16.82%,1.71%,15.76%,"39,638","24,779",1.60,17155,,,,,,,24779,15.76%,5451,1227,"7,022",22.51%,16.66%,"19,374","2,949","17,758",15.22%,15.40%
22-Sep,"4,071",,,"252,923","58,788",23.24%,"3,501","184,298",72.87%,94.93%,160,"9,837",3.89%,5.07%,,,"109,721","2,994,069","1,774,065","1,521,142",,,"43,896","31,065",,"6,571",11.84,7.01,7.63,14.26%,13.10%,1.64%,15.33%,"39,818","26,001",1.53,16815,,,,,,,26001,15.33%,8148,1033,"7,166",12.68%,16.33%,"22,917","3,038","18,836",13.26%,14.94%
23-Sep,"4,465",,,"257,388","59,453",23.10%,"3,660","187,958",73.03%,94.96%,140,"9,977",3.88%,5.04%,,,"109,541","3,032,250","1,799,563","1,542,175",,,"38,181","25,498",,"6,665",11.78,6.99,5.71,14.30%,17.51%,1.77%,16.06%,"39,590","25,256",1.57,17593,,,,,,,25256,16.06%,7854,1187,"7,493",15.11%,15.01%,"17,644","3,278","17,763",18.58%,16.50%
24-Sep,"4,634",,,"262,022","60,064",22.92%,"3,895","191,853",73.22%,95.00%,128,"10,105",3.86%,5.00%,,,"110,910","3,074,814","1,834,349","1,572,327",,,"42,564","34,786",,"6,794",11.73,7.00,7.51,14.28%,13.32%,1.80%,16.15%,"39,699","26,004",1.53,17910,,,,,,,26004,16.15%,7618,1305,"7,494",17.13%,15.57%,"27,168","3,329","18,510",12.25%,16.38%
25-Sep,"4,823",,,"266,845","60,431",22.65%,"4,343","196,196",73.52%,95.05%,113,"10,218",3.83%,4.95%,,,"112,082","3,120,947","1,860,768","1,593,923",,,"46,133","26,419",,"6,892",11.70,6.97,5.48,14.34%,18.26%,1.84%,16.47%,"39,942","26,303",1.52,18461,,,,,,,26303,16.47%,8144,1289,"7,487",15.83%,15.36%,"18,275","3,534","18,816",19.34%,16.91%
26-Sep,"4,494",,,"271,339","61,628",22.71%,"3,207","199,403",73.49%,95.08%,90,"10,308",3.80%,4.92%,,,"119,379","3,169,783","1,886,426","1,615,087",,,"48,836","25,658",,"6,987",11.68,6.95,5.71,14.38%,17.52%,1.68%,16.28%,"40,555","26,889",1.51,19441,,,,,,,26889,16.28%,8289,1257,"7,645",15.16%,15.65%,"17,369","3,237","19,244",18.64%,16.54%
27-Sep,"3,874",,,"275,213","61,813",22.46%,"3,611","203,014",73.77%,95.13%,78,"10,386",3.77%,4.87%,,,"129,553","3,207,055","1,907,226","1,632,013",,,"37,272","20,800",,"7,064",11.65,6.93,5.37,14.43%,18.63%,1.43%,16.15%,"40,630","27,007",1.50,20926,,,,,,,27007,16.15%,8917,1186,"7,774",13.30%,15.59%,"11,883","2,688","19,233",22.62%,16.38%
28-Sep,"3,509",,,"278,722","61,379",22.02%,"3,856","206,870",74.22%,95.18%,87,"10,473",3.76%,4.82%,,,"131,361","3,239,244","1,934,863","1,656,141",,,"32,189","27,637",,"7,166",11.62,6.94,7.88,14.41%,12.70%,1.28%,15.57%,"41,296","27,409",1.51,20451,,,,,,,27409,15.57%,5122,807,"7,727",15.76%,14.91%,"22,515","2,702","19,682",12.00%,15.83%
29-Sep,"4,002",,,"282,724","61,686",21.82%,"3,567","210,437",74.43%,95.20%,128,"10,601",3.75%,4.80%,,,"132,496","3,276,402","1,962,754","1,680,030",,,"37,158","27,891",,"7,269",11.59,6.94,6.97,14.40%,14.35%,1.44%,15.79%,"40,333","26,956",1.50,20926,,,,,,,26956,15.79%,8328,1132,"7,753",13.59%,15.04%,"19,563","2,870","19,202",14.67%,16.10%
30-Sep,"4,284",,,"287,008","61,321",21.37%,"4,510","214,947",74.89%,95.24%,139,"10,740",3.74%,4.76%,,,"132,693","3,321,898","1,993,694","1,706,686",,,"45,496","30,940",,"7,384",11.57,6.95,7.22,14.40%,13.85%,1.52%,15.26%,"41,378","27,733",1.49,20246,,,,,,,27733,15.26%,7523,1050,"7,706",13.96%,14.88%,"23,417","3,234","20,027",13.81%,15.40%
1-Oct,"4,174",,,"291,182","61,839",21.24%,"3,540","218,487",75.03%,95.27%,116,"10,856",3.73%,4.73%,,,"135,480","3,365,490","2,023,990","1,732,808",,,"43,592","30,296",,"7,496",11.56,6.95,7.26,14.39%,13.78%,1.45%,15.38%,"41,525","27,092",1.53,20832,,,,,,,27092,15.38%,6919,1162,"7,606",16.79%,14.81%,"23,377","3,012","19,486",12.88%,15.60%
2-Oct,"4,317",,,"295,499","63,187",21.38%,"2,853","221,340",74.90%,95.28%,116,"10,972",3.71%,4.72%,,,"135,348","3,407,911","2,050,821","1,755,322",,,"42,421","26,831",,"7,596",11.53,6.94,6.22,14.41%,16.09%,1.48%,15.08%,"40,995","27,150",1.51,20406,,,,,,,27150,15.08%,6697,1098,"7,399",16.40%,14.85%,"20,134","3,219","19,751",15.99%,15.16%
3-Oct,"4,007",,,"299,506","63,399",21.17%,"3,712","225,052",75.14%,95.32%,83,"11,055",3.69%,4.68%,,,"139,099","3,451,398","2,074,943","1,775,437",,,"43,487","24,122",,"7,685",11.52,6.93,6.02,14.43%,16.61%,1.36%,14.94%,"40,231","26,931",1.49,20783,,,,,,,26931,14.94%,,,,,,,,,,
4-Oct,"3,992",,,"303,498","63,894",21.05%,"3,401","228,453",75.27%,95.35%,96,"11,151",3.67%,4.65%,,,"139,401","3,488,141","2,096,584","1,793,086",,,"36,743","21,641",,"7,765",11.49,6.91,5.42,14.48%,18.45%,1.33%,14.94%,"40,155","27,051",1.48,20823,,,,,,,,,,,,,,,,,,
5-Oct,"3,622",,,"307,120","63,274",20.60%,"4,140","232,593",75.73%,95.39%,102,"11,253",3.66%,4.61%,,,"141,169","3,515,165","2,119,355","1,812,235",,,"27,024","22,771",,"7,849",11.45,6.90,6.29,14.49%,15.91%,1.19%,15.39%,"39,417","26,356",1.50,21729,,,,,,,,,,,,,,,,,,
6-Oct,"4,056",,,"311,176","63,365",20.36%,"3,844","236,437",75.98%,95.41%,121,"11,374",3.66%,4.59%,,,"140,305","3,551,507","2,145,508","1,834,332",,,"36,342","26,153",,"7,946",11.41,6.89,6.45,14.50%,15.51%,1.32%,15.57%,"39,301","26,108",1.51,21843,,,,,,,,,,,,,,,,,,
7-Oct,"4,538",,,"315,714","63,951",20.26%,"3,854","240,291",76.11%,95.44%,98,"11,472",3.63%,4.56%,,,"142,213","3,595,719","2,177,675","1,861,961",,,"44,212","32,167",,"8,065",11.39,6.90,7.09,14.50%,14.11%,1.46%,15.60%,"39,117","26,283",1.49,22189,,,,,,,,,,,,,,,,,,
8-Oct,"4,850",,,"320,564","64,924",20.25%,"3,769","244,060",76.13%,95.47%,108,"11,580",3.61%,4.53%,,,"144,072","3,639,108","2,210,576","1,890,012",,,"43,389","32,901",,"8,187",11.35,6.90,6.78,14.50%,14.74%,1.54%,15.75%,"39,088","26,655",1.47,22687,,,,,,,,,,,,,,,,,,
9-Oct,"4,094",,,"324,658","65,314",20.12%,"3,607","247,667",76.29%,95.50%,97,"11,677",3.60%,4.50%,,,"149,115","3,683,808","2,249,694","1,925,036",,,"44,700","39,118",,"8,332",11.35,6.93,9.55,14.43%,10.47%,1.28%,14.66%,"39,414","28,410",1.39,21863,,,,,,,,,,,,,,,,,,
10-Oct,"4,294",,,"328,952","65,706",19.97%,"3,814","251,481",76.45%,95.53%,88,"11,765",3.58%,4.47%,,,"151,652","3,726,476","2,283,369","1,954,417",,,"42,668","33,675",,"8,457",11.33,6.94,7.84,14.41%,12.75%,1.32%,14.13%,"39,297","29,775",1.32,21425,,,,,,,,,,,,,,,,,,
11-Oct,"4,497",,,"333,449","66,578",19.97%,"3,546","255,027",76.48%,95.56%,79,"11,844",3.55%,4.44%,,,"152,286","3,762,808","2,305,532","1,972,083",,,"36,332","22,163",,"8,539",11.28,6.91,4.93,14.46%,20.29%,1.37%,14.33%,"39,238","29,850",1.31,21829,,,,,,,,,,,,,,,,,,
12-Oct,"3,267",,,"336,716","66,262",19.68%,"3,492","258,519",76.78%,95.59%,91,"11,935",3.54%,4.41%,,,"154,532","3,802,093","2,338,550","2,001,834",,,"39,285","33,018",,"8,661",11.29,6.95,10.11,14.40%,9.89%,0.98%,13.50%,"40,990","31,314",1.31,20865,,,,,,,,,,,,,,,,,,
13-Oct,"3,906",,,"340,622","65,299",19.17%,"4,777","263,296",77.30%,95.63%,92,"12,027",3.53%,4.37%,,,"153,822","3,852,511","2,378,562","2,037,940",,,"50,418","40,012",,"8,809",11.31,6.98,10.24,14.32%,9.76%,1.16%,12.63%,"43,001","33,293",1.29,19435,,,,,,,,,,,,,,,,,,
14-Oct,"4,127",,,"344,749","64,742",18.78%,"4,555","267,851",77.69%,95.66%,129,"12,156",3.53%,4.34%,,,"154,420","3,892,904","2,415,606","2,070,857",,,"40,393","37,044",,"8,947",11.29,7.01,8.98,14.27%,11.14%,1.21%,12.20%,"42,455","33,990",1.25,18844,,,,,,,,,,,,,,,,,,
15-Oct,"4,411",,,"349,160","63,231",18.11%,"5,810","273,661",78.38%,95.71%,112,"12,268",3.51%,4.29%,,,"154,926","3,935,112","2,449,725","2,100,565",,,"42,208","34,119",,"9,073",11.27,7.02,7.73,14.25%,12.93%,1.28%,11.96%,"42,286","34,164",1.24,18525,,,,,,,,,,,,,,,,,,
16-Oct,"4,301",,,"353,461","63,570",17.99%,"3,883","277,544",78.52%,95.74%,79,"12,347",3.49%,4.26%,,,"157,672","3,976,653","2,479,922","2,126,461",,,"41,541","30,197",,"9,185",11.25,7.02,7.02,14.25%,14.24%,1.23%,12.51%,"41,835","32,890",1.27,19726,,,,,,,,,,,,,,,,,,
17-Oct,"4,301",,,"357,762","63,739",17.82%,"4,048","281,592",78.71%,95.77%,84,"12,431",3.47%,4.23%,,,"158,700","4,019,958","2,505,898","2,148,136",,,"43,305","25,976",,"9,281",11.24,7.00,6.04,14.28%,16.56%,1.22%,12.95%,"41,926","31,790",1.32,20546,,,,,,,,,,,,,,,,,,
18-Oct,"4,105",,,"361,867","64,032",17.69%,"3,732","285,324",78.85%,95.80%,80,"12,511",3.46%,4.20%,,,"159,715","4,056,336","2,528,319","2,166,452",,,"36,378","22,421",,"9,364",11.21,6.99,5.46,14.31%,18.31%,1.15%,12.76%,"41,933","31,827",1.32,20373,,,,,,,,,,,,,,,,,,
19-Oct,"3,373",,,"365,240","63,380",17.35%,"3,919","289,243",79.19%,95.82%,106,"12,617",3.45%,4.18%,,,"162,410","4,092,595","2,553,521","2,188,281",,,"36,259","25,202",,"9,457",11.21,6.99,7.47,14.30%,13.38%,0.93%,13.27%,"41,500","30,710",1.35,21550,,,,,,,,,,,,,,,,,,
