Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
9-Apr,,,2,,,,28,,5,,1,,,,2,,,,,,,,,2,,,,,,,,,,,,
10-Apr,,,1,,,,12,,,,5,,,1,,,,,,3,1,,,3,,,,,,,,,,,,
11-Apr,,,,,,,5,,,,3,,,,,1,,2,,,,4,1,4,,,,,,,,1,,,,
12-Apr,,,,,,,36,,3,3,2,1,,,,,,,,,,,,,,,,,,,1,,,,,
13-Apr,,,1,,,,9,,9,,3,,,,,,,,,,,1,,,,3,,,,,,,,,,
14-Apr,,,,,,,37,,,1,11,,,,3,,4,,,2,,,,,1,1,,,,,,,,,,
15-Apr,,,2,,,,,,,1,4,,,1,1,,,,,,,,,,,1,,,,,,,,,,
16-Apr,,,7,,,,2,,1,,1,,,,,,2,,,,,,,8,,,3,,,,3,,,,,
17-Apr,,,2,,,1,2,,3,13,,,,,,,,,,2,,,,,,,1,,,,,,,,,
18-Apr,,1,,,,,7,,,,3,,,,,,,,,1,,,1,2,,,,,,,,,,,,
19-Apr,,,,,,,34,,3,3,5,,,,,,,1,1,,,,,,,,,,,,,,,,,
20-Apr,,,1,,,,,,3,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,
21-Apr,,,,,,,11,,6,,,,,1,,,1,,,,1,,,5,,,,,,,,,,1,,
22-Apr,,1,,,,,3,,3,9,2,,,,,,,,,1,,1,,,,,,,,,,,,,,
23-Apr,,,,,,,,,3,,2,,,,,,,,,1,,1,,4,,,,,,,,,,,,
24-Apr,,,4,,,,25,,3,1,7,,,,,,,,,1,,,,1,,,,,,,,,,,,
25-Apr,,,,,,,20,,,,8,,,,,,,,,1,,1,,1,,,,,,,,,,,,
26-Apr,,,,,,,7,,,4,12,,,,,,,,,,,,,,,,,,,,,,,,,
27-Apr,,,1,,,,14,,1,,1,,,1,,,,,,3,,,,1,,,,,,,,,,,,
28-Apr,,,1,,,,3,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,
29-Apr,,,,,,,,,,1,5,,,,3,,1,,,1,,,,,,,,,,,,,,,,
30-Apr,,,,,,,1,,4,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,
1-May,,,,,,,4,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2-May,,,,,,,17,,1,2,7,,,,,,,,,,,,,3,,,1,,,,,,,,,
3-May,,,,,,,6,,1,,5,,,1,,,,,1,,,,,,,,,,,,,,,,,
4-May,,,,,,,10,,1,,6,,,,,,,,1,,,,,,,,1,,,,,,,,,
5-May,,,,,,,1,,1,,,,1,,,,1,,,1,,,,2,,,,,,,,1,,,,
6-May,,,,,,,5,,3,2,6,,,,,,,1,,,,3,,3,,,,,,,,,,,,
7-May,,,15,,,,9,,,,10,,,,,,,,1,,,,,,,,,,,,,,,,,
8-May,,,,,,,1,,2,1,5,,,,,,,,,1,,,,1,,,,,2,,,,,,,
9-May,,,,,,,3,,3,1,3,,,,,,,1,,,,5,,,,,,,,,,,,,,
10-May,,,,,,,7,,,,2,,,,,,1,,3,,,,,1,,,,,,,,,,,,
11-May,,,,,,,7,,,,6,,,,,,,,,,,3,,2,,,,,,,,,,,,
12-May,,,,,,,2,,3,,6,,1,,,,,,,1,1,,,,,,,,2,,,,,,,
13-May,,,1,,,,6,,,,8,,,,,,,1,,1,,,1,,,,,3,,,,,,,,
14-May,,,,,1,,3,,1,,4,,,,,,,,,2,,,,2,1,,,,,,,,1,,,
15-May,,,3,,,,8,,1,4,11,,,4,,,,,,,,,2,,,,,,,,,,,,,
16-May,,,1,,,1,,,,,5,,,,,,,,2,1,1,,,1,,,,1,,,,,,,,
17-May,,,,,,,3,,10,,11,1,,,27,,,,,,1,2,,1,,,,,2,,,,,1,,
18-May,,,1,,,,,,13,,15,,,,8,,,,2,,,1,,2,,1,,,,,,,,,,
19-May,,,,,,,7,,1,,13,,,,3,,,,5,,,1,,,,,,,,,,,,,,
20-May,,,,,,,2,,,,6,,,,5,,1,,1,1,1,2,,1,,,,,1,,,,,,,
21-May,,,3,,,,9,,,,13,,,,2,,,,2,,3,1,,3,,,,,,,,,,,,
22-May,,,1,,,,18,,1,,15,,,4,3,,,,1,,1,1,,2,,1,,,,,,,,,,
23-May,,,,,,,1,,2,,15,,,,1,,,1,1,1,2,,,,,,,,,1,,,,,,
24-May,,,,,,,,,1,,12,,,,1,,,,2,,1,1,,2,,,,1,,,,,,,,
